YEAR,MONTH,PLACE,NO2,O3,CO,SO2,PM10,PM25
2016,4,강남구,0.038,0.031,0.5,0.005,78,3
2016,4,강동구,0.036,0.023,0.5,0.004,77,28
2016,4,강변북로,0.055,0.017,0.5,0.005,82,3
2016,4,강북구,0.034,0.034,0.5,0.004,62,29
2016,4,강서구,0.033,0.026,0.4,0.006,76,28
2016,4,공항로,0.037,0.013,0.7,0.005,84,28
2016,4,관악구,0.039,0.031,0.6,0.005,66,31
2016,4,광진구,0.035,0.033,0.6,0.004,69,34
2016,4,구로구,0.029,0.026,0.6,0.007,80,31
2016,4,금천구,0.04,0.031,0.6,0.004,64,3
2016,4,길동,0.046,0.023,0.7,0.005,61,3
2016,4,내부순환,0.039,0.027,0.5,0.006,82,34
2016,4,노원구,0.032,0.032,0.6,0.006,57,3
2016,4,도봉구,0.032,0.035,0.4,0.005,71,26
2016,4,동대문구,0.039,0.03,0.5,0.006,76,29
2016,4,동작구,0.037,0.028,0.5,0.004,69,35
2016,4,동작대로,0.062,0.017,0.7,0.006,90,41
2016,4,마포구,0.04,0.031,0.6,0.005,68,33
2016,4,서대문구,0.024,0.035,0.6,0.005,75,33
2016,4,서울역,0.054,0.019,0.6,0.005,84,29
2016,4,서초구,0.038,0.027,0.5,0.005,77,24
2016,4,성동구,0.039,0.029,0.5,0.007,83,28
2016,4,성북구,0.04,0.024,0.6,0.005,73,27
2016,4,송파구,0.036,0.033,0.5,0.005,69,26
2016,4,신사동,0.052,0.023,0.8,0.004,76,28
2016,4,신촌,0.055,0.014,0.8,0.006,98,33
2016,4,양재대로,0.071,0.016,0.7,0.009,80,33
2016,4,양천구,0.039,0.032,0.6,0.005,66,27
2016,4,영등포,0.064,0.015,0.6,0.008,88,33
2016,4,영등포구,0.034,0.024,0.6,0.004,71,29
2016,4,용산구,0.037,0.027,0.5,0.005,58,31
2016,4,은평구,0.042,0.034,0.5,0.006,69,26
2016,4,종로,0.054,0.022,0.7,0.004,72,3
2016,4,종로구,0.034,0.023,0.4,0.004,67,35
2016,4,중구,0.044,0.027,0.6,0.004,69,28
2016,4,중랑구,0.036,0.032,0.5,0.005,77,32
2016,4,청계천,0.048,0.023,0.5,0.01,61,19
2016,4,청량리,0.051,0.016,0.7,0.005,60,34
2016,4,태릉,0.055,0.019,0.6,0.005,77,33
2016,3,강남구,0.04,0.026,0.5,0.007,66,31
2016,3,강동구,0.039,0.018,0.6,0.005,68,32
2016,3,강변북로,0.06,0.013,0.6,0.007,75,32
2016,3,강북구,0.037,0.026,0.6,0.005,58,33
2016,3,강서구,0.033,0.022,0.5,0.006,70,29
2016,3,공항로,0.039,0.011,0.4,0.005,91,26
2016,3,관악구,0.035,0.027,0.6,0.006,62,33
2016,3,광진구,0.037,0.02,0.6,0.005,67,4
2016,3,구로구,0.03,0.024,0.6,0.007,67,31
2016,3,금천구,0.041,0.025,0.6,0.005,61,33
2016,3,길동,0.049,0.017,0.5,0.006,58,32
2016,3,내부순환,0.042,0.025,0.6,0.008,72,33
2016,3,노원구,0.036,0.026,0.6,0.007,55,33
