년 도,생산량,민수용,발전용,산업용,계
1947,501,,,,
1948,869,,,,
1949,1129,,,,
1950,661,,,,
1951,162,93,50,16,159
1952,577,305,205,83,593
1953,867,351,251,321,923
1954,889,406,316,347,1069
1955,1308,562,477,456,1495
1956,1815,847,674,332,1853
1957,2441,1024,724,471,2219
1958,2671,1375,593,532,2500
1959,4136,2349,544,976,3869
1960,5350,2909,779,1134,4822
1961,5884,4076,784,1168,6028
1962,7444,4953,755,1508,7216
1963,8844,5953,848,1816,8617
1964,9615,6335,1368,1725,9428
1965,10248,7118,1568,1660,10346
1966,11613,8466,1346,1957,11769
1967,12436,8680,1448,1828,11956
1968,10242,7656,1486,1427,10569
1969,10273,9194,989,1176,11359
1970,12394,9910,574,1347,11831
1971,12785,10115,626,1250,11991
1972,12403,10555,884,924,12363
1973,13571,13017,686,1033,14736
1974,15263,13657,426,876,14959
1975,17593,13612,1349,983,15944
1976,16427,14670,1244,868,16782
1977,17268,16047,800,957,17804
1978,18054,16526,518,909,17953
1979,18208,16942,1064,814,18820
1980,18624,18037,1865,928,20830
1981,19865,18543,1878,992,21413
1982,20116,17887,2326,652,20865
1983,19861,18960,2074,636,21670
1984,21370,21316,2251,587,24154
1985,22543,23100,1778,461,25339
1986,24253,24251,2285,391,26927
1987,24273,23588,2444,294,26326
1988,24295,22926,2407,308,25641
1989,20785,20054,2438,307,22799
1990,17217,18779,1983,217,20979
1991,15058,14996,2070,115,17181
1992,11970,11068,1945,62,13075
1993,9443,7747,2272,55,10074
1994,7438,4684,2191,49,6924
1995,5720,3005,2420,60,5485
1996,4951,1960,2514,28,4502
1997,4514,1389,2323,57,3769
1998,4361,1229,2451,162,3842
1999,4197,1117,2552,184,3853
2000,4150,1192,2850,116,4158
2001,3817,1230,2689,108,4027
2002,3318,1175,2558,75,3808
2003,3299,1191,2710,43,3944
2004,3191,1385,2356,145,3886
2005,2832,2010,2354,102,4466
2006,2833,2327,2356,34,4717
2007,2886,2091,2156,7,4254
2008,2773,2289,1960,11,4260
2009,2519,1941,1360,8,3309
2010,2084,1859,839,0,2698
2011,2084,1822,543,0,2365
2012,2094,1833,591,0,2424
2013,1815,1917,323,0,2240
2014,1748,1629,250,0,1879
2015,1764,1473,245,0,1718
