년도별,수입량,발전용,제철용,시멘트 및 기타,계
1970,80,0,,80,80
1971,56,0,,56,56
1972,33,0,,33,33
1973,649,0,424,225,649
1974,839,0,839,,839
1975,786,0,786,,786
1976,1586,0,1506,80,1586
1977,2100,0,1795,305,2100
1978,2169,0,2009,160,2169
1979,4349,0,3676,673,4349
1980,5032,0,3987,1045,5032
1981,7245,0,5941,1493,7434
1982,9039,0,6033,2471,8504
1983,10151,546,6199,2889,9633
1984,12194,3342,6888,2514,12745
1985,17131,5140,6959,2598,14697
1986,16347,5363,6995,2932,15290
1987,17834,4442,8348,3428,16218
1988,21913,5579,9722,3973,19274
1989,23500,5227,11167,4074,20468
1990,22846,5723,11735,4418,21876
1991,27849,5776,13951,5108,24835
1992,29321,6322,14375,5520,26217
1993,34221,9008,15972,6571,31551
1994,37854,12376,15750,6985,35111
1995,42359,14229,16305,7555,38089
1996,45160,18948,17362,8598,44908
1997,48237,22715,18178,8819,49712
1998,50566,25682,18330,7250,51262
1999,51101,28297,18442,7398,54137
2000,59601,33305,19415,7609,60329
2001,61857,36601,19315,7770,63686
2002,64640,40143,20098,8024,68265
2003,65318,41631,20509,8400,70540
2004,72103,45512,20838,7628,73978
2005,69330,47852,20810,7126,75788
2006,70888,50199,20731,7068,77998
2007,79355,55487,21519,7424,84430
2008,90469,62791,23568,7624,93983
2009,92952,71092,20734,6776,98602
2010,106096,76674,28692,7042,112408
2011,116118,80393,31811,7494,119698
2012,114645,79136,31487,7040,117663
2013,116222,79692,32053,7087,118832
2014,117873,78226,37611,7402,123239
2015,119322,78651,36753,7127,122531
